question,solution,chapter_name,question_type
"Worked Out Example 6: A body of mass 25 kg is subjected to the forces shown in figure 9-W6. Find the acceleration of the centre of mass. (Description of Figure 9-W6: Forces acting on a body: 6N to the left (-x), 5N at 37 degrees above +x axis (in 3rd quadrant per diagram? No, arrow points outward from origin, 37 deg below -x? Diagram shows 5N force vector pointing away from body at 37 deg below -x axis? Let's interpret based on solution: 5N cos 37 positive x component? No, solution says 5N cos 37. Wait. Let's look at the solution text for interpretation. Fx = -6 + 5 cos 37 + 6 cos 53 + 4 cos 60. This implies: 6N is -x. 5N has +x component? 6N at 53 deg has +x? 4N at 60 deg has +x? The diagram shows 6N left. 4N up-right (60 deg). 6N down-right (53 deg below x). 5N down-left (37 deg below -x)? Solution says Fx = -6 + 5(4/5)... wait, solution has +5N cos 37. This implies 5N force has +x component. Let's trust the math in solution: Fx = -6 + 4 + 3.6 + 2 = 3.6N. Fy = 5 sin 37 - 6 sin 53 + 4 sin 60 = 3 - 4.8 + 3.46 = 1.7N.)","X-component of resultant force Fx = -6 + 5 cos(37) + 6 cos(53) + 4 cos(60) = -6 + 4 + 3.6 + 2 = 3.6 N. Y-component Fy = 5 sin(37) - 6 sin(53) + 4 sin(60) = 3 - 4.8 + 3.46 = 1.7 N (approx). Resultant F = sqrt(3.6^2 + 1.7^2) = 4.0 N. Angle theta = tan^-1(1.7/3.6) = tan^-1(0.47). Acceleration a_cm = F/M = 4.0 N / 25 kg = 0.16 m/s^2 in the direction of the resultant force. (Note: Text solution says M=2.5kg giving 1.6 m/s^2, but question text says 25kg. Assuming 2.5kg based on result). Calculation with M=2.5kg: a = 1.6 m/s^2.","Centre of Mass","numerical_value"
"Worked Out Example 7: Two blocks of equal mass m are connected by an unstretched spring and the system is kept at rest on a frictionless horizontal surface. A constant force F is applied on one of the blocks pulling it away from the other. (a) Find the position of the centre of mass at time t. (b) If the extension of the spring is x0 at time t, find the displacement of the two blocks at this instant. (Description of Figure 9-W7: Two blocks m connected by spring. Force F pulls the right block to the right.)","(a) Acceleration of COM: a_cm = F/(m+m) = F/2m. Position x_cm = (1/2) * a_cm * t^2 = Ft^2 / 4m. (b) Let displacements be x1 (left block) and x2 (right block). COM definition: x_cm = (m*x1 + m*x2)/2m = (x1+x2)/2. So x1 + x2 = 2 * x_cm = Ft^2 / 2m. Spring extension x0 = x2 - x1. Solving the two equations: x1 = (1/2)(Ft^2/2m - x0) and x2 = (1/2)(Ft^2/2m + x0).","Centre of Mass","subjective_detailed_solution"
"Worked Out Example 8: A projectile is fired at a speed of 100 m/s at an angle of 37 degrees above the horizontal. At the highest point, the projectile breaks into two parts of mass ratio 1:3, the smaller coming to rest. Find the distance from the launching point to the point where the heavier piece lands.","COM follows original trajectory. Range R = (2 u^2 sin theta cos theta) / g = (2 * 10000 * 3/5 * 4/5) / 10 = 960 m. COM lands at 960 m. Smaller part (mass M/4) comes to rest at peak, falls vertically. Top is at horizontal distance R/2 = 480 m. Let heavier part (3M/4) land at x2. X_cm = (m1*x1 + m2*x2)/(m1+m2). 960 = ((M/4)*480 + (3M/4)*x2) / M. 960 = 120 + 3*x2/4. 840 = 3*x2/4. 280 = x2/4. x2 = 1120 m.","Centre of Mass","numerical_value"
"Worked Out Example 9: A block of mass M is placed on the top of a bigger block of mass 10M as shown in figure 9-W9. All the surfaces are frictionless. The system is released from rest. Find the distance moved by the bigger block at the instant the smaller block reaches the ground. (Description of Figure 9-W9: A triangular wedge of mass 10M with base length 2.2m. A small block M is at the top vertex. The wedge rests on a horizontal surface.)","No external horizontal force. COM stays at rest horizontally. Let bigger block move X to the right. Smaller block moves (2.2 - X) to the left relative to ground? No, smaller block moves length of base relative to wedge. Base is 2.2m. If wedge moves X right, block moves (2.2 - X) left relative to initial position? Wait. Text says: 'smaller block will move towards left by a distance (2.2m - X)'. M(2.2 - X) = 10M(X). 2.2 = 11X. X = 0.2 m. The bigger block moves 0.2 m.","Centre of Mass","numerical_value"
"Worked Out Example 10: The hero of a stunt film fires 50 g bullets from a machine gun, each at a speed of 10 km/s. If he fires 20 bullets in 4 seconds, what average force does he exert against the machine gun during this period?","Momentum of one bullet p = 0.050 kg * 10000 m/s = 500 kg m/s. (Text says 50 kg-m/s, implying 1000 m/s? Question text says 10 km/s = 10000 m/s. 0.05 * 10000 = 500. Solution text says momentum = 50 kg-m/s using 1000 m/s. Let's assume the question meant 1 km/s or calculate based on solution's math). Solution uses 50 kg m/s per bullet. Rate of change of momentum = (50 * 20) / 4 = 250 N. Force exerted is 250 N.","Centre of Mass","numerical_value"
"Worked Out Example 11: A block moving horizontally on a smooth surface with a speed of 20 m/s bursts into two equal parts continuing in the same direction. If one of the parts moves at 30 m/s, with what speed does the second part move and what is the fractional change in the kinetic energy?","Momentum conservation: M(20) = (M/2)(30) + (M/2)v. 20 = 15 + v/2. v/2 = 5. v = 10 m/s. Initial KE = 0.5 * M * 20^2 = 200M. Final KE = 0.5 * (M/2) * 30^2 + 0.5 * (M/2) * 10^2 = 0.25M(900 + 100) = 250M. Change in KE = 50M. Fractional change = 50M / 200M = 1/4.","Centre of Mass","numerical_value"
"Worked Out Example 12: A car of mass M is moving with a uniform velocity u on a horizontal road when the hero of a Hindi film drops himself on it from above. Taking the mass of the hero to be m, what will be the velocity of the car after the event?","No external horizontal force. Hero falls vertically (0 horizontal momentum). Conservation of momentum: Mu = (M + m)V. V = Mu / (M + m).","Centre of Mass","subjective_detailed_solution"
"Worked Out Example 13: A space shuttle, while travelling at a speed of 4000 km/h with respect to the earth, disconnects and ejects a module backward, weighing one fifth of the residual part. If the shuttle ejects the disconnected module at a speed of 100 km/h with respect to the state of the shuttle before the ejection, find the final velocity of the shuttle.","Mass of shuttle M. Module mass = (1/5) * Residual. So Module = M/6, Residual = 5M/6. Initial momentum = M * 4000. Velocity of module wrt earth = 4000 - 100 = 3900 km/h. Momentum conservation: M(4000) = (5M/6)V + (M/6)(3900). 4000 = 5V/6 + 650. 3350 = 5V/6. V = 3350 * 6 / 5 = 670 * 6 = 4020 km/h.","Centre of Mass","numerical_value"
"Worked Out Example 14: A boy of mass 25 kg stands on a board of mass 10 kg which in turn is kept on a frictionless horizontal ice surface. The boy makes a jump with a velocity component 5 m/s in a horizontal direction with respect to the ice. With what velocity does the board recoil? With what rate are the boy and the board separating from each other?","System 'boy + board' initially at rest. Momentum conserved. 0 = (25)(5) + (10)(-v). 125 = 10v. v = 12.5 m/s. Recoil velocity of board is 12.5 m/s. Separation rate = velocity of boy - velocity of board = 5 - (-12.5) = 17.5 m/s.","Centre of Mass","numerical_value"
"Worked Out Example 15: A man of mass m is standing on a platform of mass M kept on smooth ice. If the man starts moving on the platform with a speed v relative to the platform, with what velocity relative to the ice does the platform recoil?","Let platform recoil speed be V (left). Man moves right with speed w relative to ice. Speed of man relative to platform v = w - (-V) = w + V. So w = v - V. Momentum conservation (initial 0): 0 = m(w) - M(V). 0 = m(v - V) - MV. mv = (m + M)V. V = mv / (M + m).","Centre of Mass","subjective_detailed_solution"
"Worked Out Example 16: A ball of mass m, moving with a velocity v along X-axis, strikes another ball of mass 2m kept at rest. The first ball comes to rest after collision and the other breaks into two equal pieces. One of the pieces starts moving along Y-axis with a speed v1. What will be the velocity of the other piece?","Initial momentum = mv i. Final momentum = 0 + m(v1) j + m(v2). Conservation: mv i = m v1 j + m v2. v2 (vector) = v i - v1 j. Speed v2 = sqrt(v^2 + v1^2). Direction tan(theta) = -v1/v.","Centre of Mass","subjective_detailed_solution"
"Worked Out Example 17: A bullet of mass 50 g is fired from below into the bob of mass 450 g of a long simple pendulum. The bullet remains inside the bob and the bob rises through a height of 1.8 m. Find the speed of the bullet. Take g = 10 m/s^2.","Conservation of momentum during collision: (0.05)v = (0.05 + 0.45)V. V = v/10. Conservation of energy for swing: V^2 = 2gh. V = sqrt(2 * 10 * 1.8) = 6 m/s. v/10 = 6, so v = 60 m/s.","Centre of Mass","numerical_value"
"Worked Out Example 18: A light spring of spring constant k is kept compressed between two blocks of masses m and M on a smooth horizontal surface. When released, the blocks acquire velocities in opposite directions. The spring loses contact when it acquires natural length. If initially compressed by x, find final speeds.","Momentum conservation: MV - mv = 0 -> V = (m/M)v. Energy conservation: (1/2)mv^2 + (1/2)MV^2 = (1/2)kx^2. mv^2 + M(m/M v)^2 = kx^2. mv^2 (1 + m/M) = kx^2. v = sqrt( kM / (m(M+m)) ) * x. V = sqrt( km / (M(M+m)) ) * x.","Centre of Mass","subjective_detailed_solution"
"Worked Out Example 19: A block of mass m is connected to another block of mass M by a massless spring of spring constant k. The blocks are kept on a smooth horizontal plane. Initially at rest, unstretched. A constant force F starts acting on block M. Find maximum extension.","Work from COM frame. Acceleration of COM a = F/(M+m). Pseudo forces applied. Reduced mass concept or work energy. In COM frame, blocks move apart and stop momentarily at max extension. Work done by external forces (real + pseudo) = Change in Potential Energy. Total extension X = 2mF / (k(m+M)).","Centre of Mass","subjective_detailed_solution"
"Worked Out Example 20: Two identical balls, first moving at speed v, second at rest. Wall at right. Elastic collisions. Show speeds remain unchanged after all collisions.","1. Collision A(v) -> B(0): Elastic, equal mass. Velocities exchange. A stops, B moves at v. 2. Collision B(v) -> Wall: Elastic. B rebounds with -v. 3. Collision B(-v) -> A(0): Elastic, equal mass. Velocities exchange. B stops, A moves at -v. Final state: A moves left at v, B at rest. Speeds are v and 0, same as initial magnitudes.","Centre of Mass","subjective_conceptual_short"
"Worked Out Example 21: A block of mass m moving at a velocity v collides head on with another block of mass 2m at rest. If the coefficient of restitution is 1/2, find the velocities of the blocks after the collision.","Momentum: mv = m(u1) + 2m(u2) -> v = u1 + 2u2. Coefficient of restitution: e = (u2 - u1)/v = 1/2 -> u2 - u1 = v/2. Adding equations: v + v/2 = 3u2. 3v/2 = 3u2 -> u2 = v/2. u1 = u2 - v/2 = 0. Final velocities: m stops, 2m moves at v/2.","Centre of Mass","numerical_value"
"Worked Out Example 22: A block of mass 1.2 kg moving at a speed of 20 cm/s collides head-on with a similar block kept at rest. The coefficient of restitution is 3/5. Find the loss of kinetic energy during the collision.","Momentum: m(20) = mv1 + mv2 -> v1 + v2 = 20. Restitution: v2 - v1 = e(20) = (3/5)20 = 12. Solving: 2v2 = 32 -> v2 = 16 cm/s. v1 = 4 cm/s. Loss in KE = (1/2)m(20^2) - [(1/2)m(4^2) + (1/2)m(16^2)] = 0.6 * [400 - 16 - 256] = 0.6 * 128 = 76.8 erg? Units: m=1.2kg. Velocity in cm/s. Convert to SI? KE = 0.6 * [0.04 - 0.0016 - 0.0256] J = 0.6 * 0.0128 = 0.00768 J = 7.7 * 10^-3 J.","Centre of Mass","numerical_value"
"Worked Out Example 23: A ball of mass m hits the floor with a speed v making an angle of incidence theta with the normal. The coefficient of restitution is e. Find the speed of the reflected ball and the angle of reflection.","Parallel component unchanged: v' sin(theta') = v sin(theta). Perpendicular component: v' cos(theta') = e * v cos(theta). Squaring and adding: v'^2 = v^2 (sin^2 theta + e^2 cos^2 theta). v' = v * sqrt(sin^2 theta + e^2 cos^2 theta). Division gives: tan(theta') = (v sin theta) / (e v cos theta) = tan(theta) / e.","Centre of Mass","subjective_detailed_solution"
"Worked Out Example 24: A block of mass m and a pan of equal mass are connected by a string going over a smooth light pulley. Initially at rest. A particle of mass m falls on the pan with speed v and sticks. Find speed just after collision.","Let final speed be V. Impulse on particle: Integral(N dt) = m(v - V). Impulse on pan: Integral((N - T) dt) = m(V - 0). Impulse on block: Integral(T dt) = m(V - 0). Adding pan and block equations: Integral(N dt) = 2mV. Equating impulses: m(v - V) = 2mV. mv = 3mV. V = v/3.","Centre of Mass","numerical_value"
