question,solution,chapter_name,question_type
"Worked Out Example 4: A force F = (10 + 0.50 x) acts on a particle in the x direction, where F is in newton and x in meter. Find the work done by this force during a displacement from x = 0 to x = 2.0 m.","As the force is variable, work is integral of F dx. W = Integral from 0 to 2.0 of (10 + 0.50x) dx = [10x + 0.50(x^2/2)] from 0 to 2.0 = [10(2) + 0.25(4)] - 0 = 20 + 1 = 21 J.","Work, Power & Energy","numerical_value"
"Worked Out Example 5: A body dropped from a height H reaches the ground with a speed of 1.2 * sqrt(gH). Calculate the work done by air-friction.","By work-energy theorem, total work done is Change in KE. W_total = (1/2)m(1.2 * sqrt(gH))^2 - 0 = 0.72 mgH. Total work W_total = W_gravity + W_friction. W_gravity = mgH. Thus, 0.72 mgH = mgH + W_friction. W_friction = 0.72 mgH - mgH = -0.28 mgH.","Work, Power & Energy","subjective_detailed_solution"
"Worked Out Example 6: A block of mass M is pulled along a horizontal surface by applying a force at an angle theta with the horizontal. The friction coefficient between the block and the surface is mu. If the block travels at a uniform velocity, find the work done by this applied force during a displacement d of the block. ","Forces: Mg down, N up, F at angle theta, friction f back. Horizontal balance: F cos theta = mu * N. Vertical balance: F sin theta + N = Mg. Eliminating N: F cos theta = mu(Mg - F sin theta). F(cos theta + mu sin theta) = mu Mg. F = (mu Mg) / (cos theta + mu sin theta). Work done W = F * d * cos theta = (mu Mg d cos theta) / (cos theta + mu sin theta).","Work, Power & Energy","subjective_detailed_solution"
"Worked Out Example 7: Two cylindrical vessels of equal cross-sectional area A contain water upto heights h1 and h2. The vessels are interconnected so that the levels in them become equal. Calculate the work done by the force of gravity during the process. The density of water is rho. ","Since total volume is constant, final height is (h1 + h2)/2. Effectively, water from height h1 down to (h1+h2)/2 has moved to the other vessel raising it from h2 to (h1+h2)/2. The mass of this water is m = rho * A * (h1 - (h1+h2)/2) = rho * A * (h1 - h2)/2. The height descended by this center of mass of water is AC = (h1 - h2)/2. Work done by gravity = mgh = [rho * A * (h1 - h2)/2] * g * [(h1 - h2)/2] = rho * A * g * ((h1 - h2)/2)^2.","Work, Power & Energy","subjective_detailed_solution"
"Worked Out Example 8: What minimum horizontal speed should be given to the bob of a simple pendulum of length l so that it describes a complete circle? ","Let speed at bottom be v0 and at top be v. Conservation of energy: (1/2)mv0^2 = (1/2)mv^2 + 2mgl. So mv^2 = mv0^2 - 4mgl. Forces at top: mg + T = mv^2/l. Substituting mv^2: mg + T = (1/l)(mv0^2 - 4mgl). mv0^2 = 5mgl + Tl. For minimum speed, T is minimum (zero). mv0^2 = 5mgl. v0 = sqrt(5gl).","Work, Power & Energy","numerical_value"
"Worked Out Example 9: A uniform chain of length l and mass m overhangs a smooth table with its two third part lying on the table. Find the kinetic energy of the chain as it completely slips off the table. ","Take zero potential energy at the table. Consider a part dx at depth x. Potential energy dU = -(m/l dx)gx. Total PE of hanging part (length l/3) is Integral from 0 to l/3 of -(m/l)gx dx = -mgl/18. PE when completely slipped off (length l hanging) is Integral from 0 to l of -(m/l)gx dx = -mgl/2. Loss in PE = (-mgl/18) - (-mgl/2) = 4mgl/9. Gain in KE = Loss in PE = 4mgl/9.","Work, Power & Energy","numerical_value"
"Worked Out Example 10: A block of mass m is pushed against a spring of spring constant k fixed at one end to a wall. The block can slide on a frictionless table. The natural length of the spring is L0 and it is compressed to half its natural length when the block is released. Find the velocity of the block as a function of its distance x from the wall. ","Initial compression is L0/2. When distance from wall is x (where x < L0), compression is L0 - x. Conservation of energy: (1/2)k(L0/2)^2 = (1/2)k(L0 - x)^2 + (1/2)mv^2. Solving for v: v = sqrt(k/m) * sqrt(L0^2/4 - (L0 - x)^2). When spring acquires natural length (x=L0), v = sqrt(k/m) * L0/2. Thereafter velocity is constant.","Work, Power & Energy","subjective_detailed_solution"
"Worked Out Example 11: A particle is placed at the point A of a frictionless track ABC as shown in figure. It is pushed slightly towards right. Find its speed when it reaches the point B. Take g = 10 m/s^2. ","Take PE = 0 at horizontal surface. U_A = Mg(1 m). U_B = Mg(0.5 m). K_A = 0. Conservation of energy: U_A + K_A = U_B + K_B. Mg(1) = Mg(0.5) + (1/2)Mv_B^2. (1/2)v_B^2 = g(0.5) = 10 * 0.5 = 5. v_B = sqrt(10) m/s.","Work, Power & Energy","numerical_value"
"Worked Out Example 12: Figure shows a smooth curved track terminating in a smooth horizontal part. A spring of spring constant 400 N/m is attached at one end to a wedge fixed rigidly with the horizontal part. A 40 g mass is released from rest at a height of 4.9 m on the curved track. Find the maximum compression of the spring. ","At maximum compression, speed is zero. Loss in gravitational PE = Gain in elastic PE. mgh = (1/2)kx^2. x = sqrt(2mgh/k). m = 0.04 kg, h = 4.9 m, k = 400 N/m. x = sqrt( (2 * 0.04 * 9.8 * 4.9) / 400 ) = sqrt(3.8416 / 400) approx 0.098 m = 9.8 cm.","Work, Power & Energy","numerical_value"
"Worked Out Example 13: Figure shows a loop-the-loop track of radius R. A car (without engine) starts from a platform at a distance h above the top of the loop and goes around the loop without falling off the track. Find the minimum value of h for a successful looping. Neglect friction. ","Let speed at top of loop be v. Start height from platform relative to top of loop is h. Conservation of energy: mgh = (1/2)mv^2. So mv^2 = 2mgh. Forces at top: mg + N = mv^2/R. mg + N = 2mgh/R. For minimum h, N = 0. mg = 2mgh/R. h = R/2.","Work, Power & Energy","numerical_value"
"Worked Out Example 14: A heavy particle is suspended by a string of length l. The particle is given a horizontal velocity v0. The string becomes slack at some angle and the particle proceeds on a parabola. Find the value of v0 if the particle passes through the point of suspension. ","String becomes slack at angle theta with vertical. Radial force balance: mg cos theta = mv^2/l => v^2 = gl cos theta. Conservation of energy from bottom to slack point: (1/2)mv0^2 = (1/2)mv^2 + mgl(1 + cos theta). Substituting v^2: v0^2 = gl(2 + 3 cos theta). From slack point, particle follows parabola. Passing through origin equations: Horizontal: l sin theta = (v cos theta)t. Vertical: -l cos theta = (v sin theta)t - (1/2)gt^2. Eliminating t leads to: cos^2 theta = sin^2 theta - (1/2)g(l^2 sin^2 theta)/(v^2 cos^2 theta). Substituting v^2 = gl cos theta simplifies to 1 = (1/2) tan^2 theta, so tan theta = sqrt(2). Using this angle in energy equation gives v0 = [gl(2 + sqrt(3))]^(1/2).","Work, Power & Energy","subjective_detailed_solution"
