question,solution,chapter_name,question_type
"Worked Out Example 4: One end of a massless spring of spring constant 100 N/m and natural length 0.5 m is fixed and the other end is connected to a particle of mass 0.5 kg lying on a frictionless horizontal table. The spring remains horizontal. If the mass is made to rotate at an angular velocity of 2 rad/s, find the elongation of the spring.","The particle is moving in a horizontal circle, accelerated towards the centre with magnitude v^2/r = omega^2 * r. The horizontal force is due to the spring k*l, where l is elongation. Radius r = l0 + l. Equation: k*l = m * omega^2 * (l0 + l). (k - m * omega^2)l = m * omega^2 * l0. l = (m * omega^2 * l0) / (k - m * omega^2). Putting values: l = (0.5 * 4 * 0.5) / (100 - 0.5 * 4) = 1 / 98 m approx 1 cm.","Circular Motion","numerical_value"
"Worked Out Example 5: A simple pendulum is constructed by attaching a bob of mass m to a string of length L fixed at its upper end. The bob oscillates in a vertical circle. It is found that the speed of the bob is v when the string makes an angle theta with the vertical. Find the tension in the string at this instant. ","Forces on the bob are tension T and weight mg. Radial acceleration is v^2/L towards the center O. Component of weight along radius is mg cos theta (away from center). Applying Newton's second law along the radius: T - mg cos theta = m v^2 / L. Thus, T = m(g cos theta + v^2/L).","Circular Motion","subjective_detailed_solution"
"Worked Out Example 6: A cylindrical bucket filled with water is whirled around in a vertical circle of radius r. What can be the minimum speed at the top of the path if water does not fall out from the bucket? If it continues with this speed, what normal contact force the bucket exerts on water at the lowest point of the path? ","At the top, acceleration is v^2/r downward. Forces: Mg down, Normal N down. Mg + N = M v^2/r. For water not to fall, N >= 0, so M v^2/r >= Mg => v^2 >= rg. Minimum speed v = sqrt(rg). If it continues with this speed sqrt(rg), at the bottom: Forces are Mg down, N' up. Acceleration is v^2/r upward. N' - Mg = M v^2/r. N' = M(g + v^2/r) = M(g + rg/r) = 2Mg.","Circular Motion","subjective_detailed_solution"
"Worked Out Example 7: A fighter plane is pulling out for a dive at a speed of 900 km/hr. Assuming its path to be a vertical circle of radius 2000 m and its mass to be 16000 kg, find the force exerted by the air on it at the lowest point. Take g = 9.8 m/s^2.","At the lowest point, acceleration is v^2/r upward. Forces: Weight Mg down, Force F by air upward. Newton's law: F - Mg = M v^2/r. F = M(g + v^2/r). v = 900 km/hr = 250 m/s. F = 16000(9.8 + 62500/2000) = 6.56 * 10^5 N upward.","Circular Motion","numerical_value"
"Worked Out Example 8: A rod of length 20 cm is pivoted near an end and rotates in a horizontal plane with a constant angular speed. A ball of mass m is suspended by a string also of length 20 cm from the other end of the rod. If the angle made by the string with the vertical is 30 degrees, find the angular speed of the rotation. Take g = 10 m/s^2. ","Ball moves in horizontal circle of radius R = L + L sin theta, where L = 20 cm. Acceleration is omega^2 R towards center. Forces: Tension T, weight mg. Vertical: T cos theta = mg. Radial: T sin theta = m * omega^2 * L(1 + sin theta). Dividing equations: tan theta = [omega^2 * L(1 + sin theta)] / g. omega^2 = (g tan theta) / [L(1 + sin theta)]. omega^2 = (10 * tan 30) / [0.20 * (1 + 0.5)] = (5.77) / 0.3 = 19.2. omega = 4.4 rad/s.","Circular Motion","numerical_value"
"Worked Out Example 9: Two blocks each of mass M are connected to the ends of a light frame as shown in the figure. The frame is rotated about the vertical line of symmetry. The rod breaks if the tension in it exceeds T0. Find the maximum frequency with which the frame may be rotated without breaking the rod. ","Angular velocity omega = 2*pi*f. Acceleration v^2/l = omega^2 * l = 4*pi^2*f^2*l. Horizontal force is tension. T0 = M * 4*pi^2*f^2*l. f = (1 / 2*pi) * sqrt(T0 / (Ml)).","Circular Motion","subjective_detailed_solution"
"Worked Out Example 10: In a rotor, a hollow vertical cylindrical structure rotates about its axis and a person rests against the inner wall. At a particular speed, the floor is removed and the person hangs resting against the wall. Radius 2 m, coefficient of static friction 0.2. Find the minimum speed at which the floor may be removed. ","Forces: weight mg down, Normal N inward, friction f_s upward. Acceleration v^2/r inward. N = m v^2/r. f_s = mg. Limiting friction f_s = mu_s * N. So mg = mu_s * (m v^2/r). v^2 = rg / mu_s. v = sqrt(2 * 10 / 0.2) = 10 m/s.","Circular Motion","numerical_value"
"Worked Out Example 11: A hemispherical bowl of radius R is set rotating about its axis of symmetry which is kept vertical. A small block kept in the bowl rotates with the bowl without slipping on its surface. If the surface is smooth, and the angle made by the radius through the block with the vertical is theta, find the angular speed at which the bowl is rotating. ","Block moves in horizontal circle of radius r = R sin theta. Acceleration omega^2 R sin theta towards axis. Forces: Normal N, weight mg. Vertical: N cos theta = mg. Radial: N sin theta = m * omega^2 * R sin theta => N = m * omega^2 * R. Substituting N: m * omega^2 * R * cos theta = mg. omega = sqrt(g / (R cos theta)).","Circular Motion","subjective_detailed_solution"
"Worked Out Example 12: A metal ring of mass m and radius R is placed on a smooth horizontal table and is set rotating about its own axis in such a way that each part of the ring moves with a speed v. Find the tension in the ring. ","Consider small part ACB subtending angle delta theta. Forces: Tensions T at ends acting along tangents. Components towards center: 2T sin(delta theta / 2). This provides centripetal force. Mass of part delta m = (m / 2pi) * delta theta. 2T sin(delta theta / 2) = (m delta theta / 2pi) * (v^2 / R). For small angle, sin(x) approx x. 2T (delta theta / 2) = (m delta theta / 2pi) (v^2 / R). T = (m v^2) / (2pi R).","Circular Motion","subjective_detailed_solution"
"Worked Out Example 13: A table with smooth horizontal surface is turning at an angular speed omega about its axis. A groove is made on the surface along a radius and a particle is gently placed inside the groove at a distance a from the centre. Find the speed of the particle as its distance from the centre becomes L. ","Work from table frame. Centrifugal force m * omega^2 * x along groove. Acceleration a = omega^2 * x. v dv/dx = omega^2 x. Integral v dv from 0 to v = Integral omega^2 x dx from a to L. v^2 / 2 = omega^2 / 2 * (L^2 - a^2). v = omega * sqrt(L^2 - a^2).","Circular Motion","subjective_detailed_solution"
